web-scraper-order,web-scraper-start-url,pin
"1612788117-98","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560097"
"1612788117-124","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","562157"
"1612788117-104","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560104"
"1612788117-93","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560092"
"1612788117-109","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560110"
"1612788117-69","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560068"
"1612788117-127","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","635103"
"1612788117-38","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560036"
"1612788117-37","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560035"
"1612788117-64","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560063"
"1612788117-41","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560039"
"1612788117-75","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560074"
"1612788117-123","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","562149"
"1612788117-120","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","562125"
"1612788117-51","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560050"
"1612788117-107","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560108"
"1612788117-3","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560001"
"1612788117-27","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560025"
"1612788117-6","https://www.google.com/search?q=pincodes+in+bangalore&oq=pincodes+in+bangalore&aqs=chrome..69i57j0j0i10i22i30j0i22i30l5.13608j0j7&sourceid=chrome&ie=UTF-8","560004"
