web-scraper-order,web-scraper-start-url,pincode
"1612799095-276","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560067"
"1612799095-166","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560026"
"1612799095-246","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560038"
"1612799095-129","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560063"
"1612799095-400","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562157"
"1612799095-320","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560076"
"1612799095-382","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560009"
"1612799095-323","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560025"
"1612799095-268","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560020"
"1612799095-162","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560025"
"1612799095-333","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560002"
"1612799095-223","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560013"
"1612799095-278","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560096"
"1612799095-159","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560002"
"1612799095-308","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560055"
"1612799095-143","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560047"
"1612799095-193","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560061"
"1612799095-279","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560085"
"1612799095-232","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562106"
"1612799095-167","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560004"
"1612799095-360","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560037"
"1612799095-255","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560013"
"1612799095-168","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560002"
"1612799095-133","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560007"
"1612799095-358","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560045"
"1612799095-337","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560002"
"1612799095-262","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560005"
"1612799095-285","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560034"
"1612799095-375","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560042"
"1612799095-384","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560003"
"1612799095-170","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560086"
"1612799095-273","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560043"
"1612799095-204","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562157"
"1612799095-163","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560001"
"1612799095-157","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560001"
